Country,Edu,Sex,Age,px,lx,dx,Lx,Tx,ex.derived,ex.original,diff
BG,higher,F,0,0.9988850726,100000,111,99944,7837185,78.37185,78.2,-0.17184999999999206
BG,higher,F,1,0.9990410946901961,99889,96,99841,7737241,77.45838881158086,77.6,0.14161118841913378
BG,higher,F,2,0.9992227807081426,99793,78,99754,7637400,76.53242211377551,76.6,0.06757788622448402
BG,higher,F,3,0.9993786290043164,99715,62,99684,7537646,75.59189690618263,75.6,0.00810309381736829
BG,higher,F,4,0.9994948977189271,99653,50,99628,7437962,74.63861599751137,74.7,0.06138400248863718
BG,higher,F,5,0.9997337102773399,99603,27,99590,7338334,73.67583305723723,73.7,0.024166942762775534
BG,higher,F,6,0.9999606447693695,99576,4,99574,7238744,72.6956696392705,72.7,0.004330360729497329
BG,higher,F,7,0.9999362713124272,99572,6,99569,7139170,71.69856987908247,71.7,0.0014301209175329177
BG,higher,F,8,0.9998655870552831,99566,13,99560,7039601,70.70286041419762,70.7,-0.0028604141976131814
BG,higher,F,9,0.9998540285653645,99553,15,99546,6940041,69.7120227416552,69.7,-0.01202274165520123
BG,higher,F,10,0.9997478676649583,99538,25,99526,6840495,68.72244770841287,68.7,-0.02244770841286936
BG,higher,F,11,0.9996885063387444,99513,31,99498,6740969,67.73958176318672,67.7,-0.03958176318671747
BG,higher,F,12,0.9997404044786036,99482,26,99469,6641471,66.76052954303292,66.8,0.039470456967080736
BG,higher,F,13,0.9998521130581728,99456,14,99449,6542002,65.77785151222652,65.8,0.02214848777347811
BG,higher,F,14,0.9998961767860449,99442,11,99436,6442553,64.78704169264496,64.8,0.012958307355035004
BG,higher,F,15,0.999861526782242,99431,14,99424,6343117,63.79415876336354,63.8,0.005841236636456415
BG,higher,F,16,0.9998116867706806,99417,18,99408,6243693,62.803071909230816,62.8,-0.0030719092308189033
BG,higher,F,17,0.9997985464053663,99399,20,99389,6144285,61.81435426915764,61.8,-0.014354269157642818
BG,higher,F,18,0.9997811783578989,99379,22,99368,6044896,60.82669376830115,60.8,-0.026693768301150556
BG,higher,F,19,0.9996697278928444,99357,33,99340,5945528,59.84005153134656,59.8,-0.04005153134656325
BG,higher,F,20,0.9996741501026724,99324,32,99308,5846188,58.85977205911965,58.9,0.04022794088034942
BG,higher,F,21,0.9998390254342112,99292,16,99284,5746880,57.87858034887,57.9,0.021419651129995998
BG,higher,F,22,0.9999004923549576,99276,10,99271,5647596,56.88782787380636,56.9,0.012172126193640054
BG,higher,F,23,0.999883521543966,99266,12,99260,5548325,55.89350835129853,55.9,0.006491648701469899
BG,higher,F,24,0.99988139451611,99254,11,99248,5449065,54.90020553327825,54.9,-2.0553327825467704e-4
BG,higher,F,25,0.9998949378340664,99243,11,99238,5349817,53.90624023860625,53.9,-0.006240238606253001
BG,higher,F,26,0.9998237740481122,99232,17,99224,5250579,52.9121553531119,52.9,-0.012155353111900524
BG,higher,F,27,0.9997050284771316,99215,30,99200,5151355,51.92113087738749,51.9,-0.021130877387491864
BG,higher,F,28,0.9996387922900752,99185,35,99168,5052155,50.936683974391286,50.9,-0.03668397439128768
BG,higher,F,29,0.9996369733127608,99150,36,99132,4952987,49.95448310640444,50,0.045516893595561214
BG,higher,F,30,0.999638152598623,99114,36,99096,4853855,48.972445870411846,49,0.02755412958815384
BG,higher,F,31,0.9996180560779571,99078,38,99059,4754759,47.99005833787521,48,0.009941662124788309
BG,higher,F,32,0.9996930231232509,99040,31,99024,4655700,47.00827948303716,47,-0.008279483037156865
BG,higher,F,33,0.9997325088119381,99009,26,98996,4556676,46.022846407902314,46,-0.02284640790231407
BG,higher,F,34,0.9995994543829823,98983,40,98963,4457680,45.03480395623491,45,-0.03480395623491006
BG,higher,F,35,0.9994660509515588,98943,52,98917,4358717,44.05280818248891,44.1,0.04719181751109147
BG,higher,F,36,0.9993203773210377,98891,68,98857,4259800,43.07570961968228,43.1,0.024290380317722793
BG,higher,F,37,0.9990804925267819,98823,91,98778,4160943,42.10500591967457,42.1,-0.005005919674566428
BG,higher,F,38,0.9989115153748649,98732,107,98678,4062165,41.14334764817891,41.1,-0.04334764817890857
BG,higher,F,39,0.9987836382315983,98625,120,98565,3963487,40.1874474017744,40.2,0.012552598225603617
BG,higher,F,40,0.9986059816666709,98505,137,98436,3864922,39.235795137302674,39.2,-0.03579513730267081
BG,higher,F,41,0.9984412199906644,98368,154,98291,3766486,38.28974869876382,38.3,0.010251301236174015
BG,higher,F,42,0.9983345730098531,98214,163,98132,3668195,37.34900319710021,37.4,0.05099680289978892
BG,higher,F,43,0.9981761168239219,98051,179,97962,3570063,36.41026608601646,36.4,-0.010266086016464726
BG,higher,F,44,0.9979962244016946,97872,196,97774,3472101,35.47593795978421,35.5,0.024062040215788727
BG,higher,F,45,0.9977521395804579,97676,220,97566,3374327,34.54612187231255,34.5,-0.04612187231254694
BG,higher,F,46,0.9975401005351392,97456,239,97336,3276761,33.62297857494664,33.6,-0.022978574946641572
BG,higher,F,47,0.9974583316450789,97217,248,97093,3179425,32.70441383708611,32.7,-0.004413837086104877
BG,higher,F,48,0.9973792358372037,96969,254,96842,3082332,31.78677721746125,31.8,0.013222782538750977
BG,higher,F,49,0.9972255238177831,96715,268,96581,2985490,30.868944837925866,30.9,0.03105516207413217
BG,higher,F,50,0.9970977526017404,96447,280,96307,2888909,29.953331881758892,30,0.04666811824110795
BG,higher,F,51,0.9971982360017473,96167,269,96032,2792602,29.039088252727026,29,-0.03908825272702643
BG,higher,F,52,0.9970089860567508,95898,287,95754,2696570,28.119147427475024,28.1,-0.019147427475022738
BG,higher,F,53,0.9966407981679666,95611,321,95450,2600816,27.202058340567508,27.2,-0.00205834056750831
BG,higher,F,54,0.9963952648597466,95290,344,95118,2505366,26.292013852450413,26.3,0.007986147549587486
BG,higher,F,55,0.9957735209436819,94946,401,94746,2410248,25.385461209529627,25.4,0.014538790470371765
BG,higher,F,56,0.9951722518800665,94545,457,94316,2315502,24.491004283674442,24.5,0.008995716325557623
BG,higher,F,57,0.9946400501132909,94088,504,93836,2221186,23.60753762435167,23.6,-0.007537624351670047
BG,higher,F,58,0.9937395189032403,93584,586,93291,2127350,22.731984099846127,22.7,-0.03198409984612738
BG,higher,F,59,0.9926889978907837,92998,680,92658,2034059,21.87207251768855,21.9,0.027927482311447704
BG,higher,F,60,0.9917107731179114,92318,765,91936,1941401,21.02949587296085,21,-0.02949587296085099
BG,higher,F,61,0.9906591238285275,91553,855,91126,1849465,20.20103109674178,20.2,-0.0010310967417801464
BG,higher,F,62,0.9895820623575023,90698,945,90226,1758339,19.386745021940946,19.4,0.013254978059052291
BG,higher,F,63,0.9883424621583549,89753,1046,89230,1668113,18.585596024645415,18.6,0.014403975354586152
BG,higher,F,64,0.9872601361405393,88707,1130,88142,1578883,17.798854656340538,17.8,0.0011453436594628386
BG,higher,F,65,0.9859864283154627,87577,1228,86963,1490741,17.02206058668372,17,-0.022060586683718242
BG,higher,F,66,0.9837950244954795,86349,1399,85650,1403778,16.257026717159434,16.3,0.042973282840566895
BG,higher,F,67,0.9813559402464043,84950,1584,84158,1318128,15.51651559741024,15.5,-0.016515597410240446
BG,higher,F,68,0.9790070250513503,83366,1750,82491,1233970,14.801837679629585,14.8,-0.0018376796295846987
BG,higher,F,69,0.9761050889252472,81616,1950,80641,1151479,14.108495883160165,14.1,-0.008495883160165363
BG,higher,F,70,0.9720188069077031,79666,2229,78552,1070838,13.441593653503377,13.4,-0.041593653503376515
BG,higher,F,71,0.9682779711710352,77437,2457,76208,992286,12.814106951457314,12.8,-0.014106951457312888
BG,higher,F,72,0.9664197305563194,74980,2518,73721,916078,12.217631368364897,12.2,-0.017631368364897426
BG,higher,F,73,0.9637188320351894,72462,2629,71148,842357,11.624810245369988,11.6,-0.024810245369987882
BG,higher,F,74,0.9612438214160636,69833,2706,68480,771209,11.043618346626953,11.1,0.05638165337304635
BG,higher,F,75,0.9612890149262049,67127,2599,65828,702729,10.468648978801376,10.5,0.031351021198624096
BG,higher,F,76,0.9593366006501292,64528,2624,63216,636901,9.870149392511777,9.9,0.02985060748822299
BG,higher,F,77,0.954303481473396,61904,2828,60490,573685,9.26733329025588,9.3,0.032666709744120226
BG,higher,F,78,0.9490053187333914,59076,3013,57570,513195,8.687030266097908,8.7,0.012969733902091107
BG,higher,F,79,0.9431847401337333,56063,3185,54470,455625,8.12701781923907,8.1,-0.027017819239070207
BG,higher,F,80,0.9356405052958214,52878,3403,51176,401155,7.586425356480956,7.5,-0.08642535648095606
BG,higher,F,81,0.9284127041816296,49475,3542,47704,349979,7.073855482566953,7,-0.07385548256695262
BG,higher,F,82,0.9197594724691764,45933,3686,44090,302275,6.580780702327303,6.5,-0.08078070232730283
BG,higher,F,83,0.9096977312174466,42247,3815,40340,258185,6.111321513953653,6.1,-0.01132151395365355
BG,higher,F,84,0.8988787781770662,38432,3886,36489,217845,5.668323272273105,5.7,0.03167672772689478
BG,higher,F,85,0,34546,34546,181356,181356,5.249696057430672,5.3,0.05030394256932791
BG,middle,F,0,0.9989289216,100000,107,99946,7920537,79.20537,79,-0.20537000000000205
BG,middle,F,1,0.9990811471365452,99893,92,99847,7820591,78.28967995755458,78.4,0.11032004244542293
BG,middle,F,2,0.9992563840872869,99801,74,99764,7720744,77.36138916443723,77.5,0.13861083556277265
BG,middle,F,3,0.9994042401297505,99727,60,99697,7620980,76.4184222928595,76.5,0.08157770714049661
BG,middle,F,4,0.9995150266584973,99667,48,99643,7521283,75.46412553804169,75.5,0.035874461958314896
BG,middle,F,5,0.999762873987203,99619,23,99608,7421640,74.50024593702004,74.5,-2.4593702003983253e-4
BG,middle,F,6,0.9999928736754394,99596,1,99596,7322032,73.51733001325354,73.5,-0.017330013253541665
BG,middle,F,7,0.9999425039318021,99595,6,99592,7222436,72.51805813544857,72.5,-0.0180581354485696
BG,middle,F,8,0.9997383460216769,99589,26,99576,7122844,71.52239705188325,71.5,-0.022397051883245922
