Country,Edu,Sex,Age,px,lx,dx,Lx,Tx,ex.derived,ex.original,diff
BG,higher,M,0,0.9985793785,100000,142,99929,7363075,73.63075,73.4,-0.23075000000000045
BG,higher,M,1,0.9987859413822252,99858,121,99798,7263146,72.73474333553646,72.9,0.16525666446354137
BG,higher,M,2,0.9990255410931592,99737,97,99688,7163348,71.82237284057071,71.9,0.07762715942929788
BG,higher,M,3,0.9992289758747614,99640,77,99602,7063660,70.89181051786431,71,0.10818948213568547
BG,higher,M,4,0.9993806088446886,99563,62,99532,6964058,69.94624509104789,70,0.05375490895211499
BG,higher,M,5,0.9997095502207203,99501,29,99486,6864526,68.98951769328951,69,0.010482306710486
BG,higher,M,6,0.999960174339299,99472,4,99470,6765040,68.00949010776903,68,-0.009490107769025258
BG,higher,M,7,0.9999691576683987,99468,3,99466,6665570,67.01220493022882,67,-0.012204930228818966
BG,higher,M,8,0.9997780884797377,99465,22,99454,6566104,66.01421605589906,66,-0.014216055899055391
BG,higher,M,9,0.9997611764016281,99443,24,99431,6466650,65.02870991422222,65,-0.028709914222218913
BG,higher,M,10,0.9997650505810753,99419,23,99408,6367219,64.044287309266835,64,-0.044287309266834995
BG,higher,M,11,0.9997412723591984,99396,26,99383,6267811,63.05898627711377,63.1,0.04101372288623395
BG,higher,M,12,0.9997458758163287,99370,25,99358,6168428,62.075354734829425,62.1,0.024645265170576636
BG,higher,M,13,0.9998198049210841,99345,18,99336,6069070,61.09084503497911,61.1,0.009154965020890415
BG,higher,M,14,0.9998508628703472,99327,15,99320,5969734,60.101825284162416,60.1,-0.0018252841624146754
BG,higher,M,15,0.9997371874516315,99312,26,99299,5870414,59.11082245851458,59.1,-0.010822458514581967
BG,higher,M,16,0.999543609659646,99286,45,99264,5771115,58.12617085993997,58.1,-0.026170859939966817
BG,higher,M,17,0.9994333317413772,99241,56,99213,5671851,57.15229592607894,57.1,-0.052295926078940624
BG,higher,M,18,0.9994210831889965,99185,58,99156,5572638,56.18428189746434,56.2,0.01571810253566497
BG,higher,M,19,0.9993107797031999,99127,68,99093,5473482,55.21686321587458,55.2,-0.016863215874579396
BG,higher,M,20,0.9993008668286455,99059,69,99024,5374389,54.2544241310734,54.3,0.04557586892659771
BG,higher,M,21,0.9994618667114216,98990,54,98963,5275365,53.29189817153248,53.3,0.008101828467516725
BG,higher,M,22,0.9995185790918365,98936,47,98912,5176402,52.32071237972022,52.3,-0.020712379720222884
BG,higher,M,23,0.999576639627199,98889,42,98868,5077490,51.34534680298112,51.3,-0.045346802981121925
BG,higher,M,24,0.9997106451119695,98847,29,98832,4978622,50.366950944388805,50.4,0.03304905561119398
BG,higher,M,25,0.9997918180396238,98818,20,98808,4879790,49.38159039851039,49.4,0.018409601489608463
BG,higher,M,26,0.9996712506632058,98798,33,98782,4780982,48.391485657604406,48.4,0.008514342395592678
BG,higher,M,27,0.9995662218535301,98765,43,98744,4682200,47.407482407735536,47.4,-0.007482407735537322
BG,higher,M,28,0.9995402997121513,98722,45,98700,4583456,46.42790867283888,46.4,-0.02790867283888332
BG,higher,M,29,0.9993907491435905,98677,60,98647,4484756,45.448848262513046,45.4,-0.0488482625130473
BG,higher,M,30,0.9991610732383297,98617,83,98576,4386109,44.47619578774451,44.5,0.023804212255491564
BG,higher,M,31,0.9990122112903965,98534,97,98486,4287533,43.513234010595326,43.5,-0.01323401059532614
BG,higher,M,32,0.9988901687462407,98437,109,98382,4189047,42.555614250739055,42.6,0.04438574926094674
BG,higher,M,33,0.9987420253918848,98328,124,98266,4090665,41.60223944349524,41.6,-0.002239443495241744
BG,higher,M,34,0.998632763412535,98204,134,98137,3992399,40.65413832430451,40.6,-0.05413832430451038
BG,higher,M,35,0.9985425445209285,98070,143,97998,3894262,39.709003772815336,39.7,-0.009003772815333377
BG,higher,M,36,0.998399364172159,97927,157,97848,3796264,38.76626466653732,38.8,0.03373533346267976
BG,higher,M,37,0.998271040371783,97770,169,97686,3698416,37.82771811394088,37.8,-0.027718113940885303
BG,higher,M,38,0.9981320268666668,97601,182,97510,3600730,36.892347414473214,36.9,0.0076525855267846055
BG,higher,M,39,0.9978778531007223,97419,207,97316,3503220,35.96033627937055,36,0.03966372062944856
BG,higher,M,40,0.9977816606935468,97212,216,97104,3405904,35.035839196806975,35,-0.03583919680697534
BG,higher,M,41,0.9974695174979741,96996,245,96874,3308800,34.11274691739865,34.1,-0.012746917398651192
BG,higher,M,42,0.9969504950192013,96751,295,96604,3211926,33.19785842006801,33.2,0.002141579931993931
BG,higher,M,43,0.9965649915840389,96456,332,96290,3115322,32.29785601725139,32.3,0.002143982748606277
BG,higher,M,44,0.9959561626201289,96124,388,95930,3019032,31.407681744413466,31.4,-0.007681744413467584
BG,higher,M,45,0.9950025648956483,95736,479,95496,2923102,30.532944764769784,30.5,-0.03294476476978403
BG,higher,M,46,0.99424089274251,95257,548,94983,2827606,29.683970731809737,29.7,0.016029268190262513
BG,higher,M,47,0.9940869542563334,94709,560,94429,2732623,28.852833416042827,28.8,-0.05283341604282654
BG,higher,M,48,0.9938494742441607,94149,580,93859,2638194,28.021476595609087,28,-0.021476595609087212
BG,higher,M,49,0.9934054863594469,93569,617,93260,2544335,27.1920721606515,27.2,0.007927839348500498
BG,higher,M,50,0.9934655816679484,92952,607,92648,2451075,26.369255099406146,26.4,0.030744900593852265
BG,higher,M,51,0.9939501268936668,92345,559,92066,2358427,25.539303698088688,25.6,0.06069630191131381
BG,higher,M,52,0.99376065425765,91786,572,91500,2266361,24.691793955505197,24.7,0.008206044494802
BG,higher,M,53,0.9935796355893338,91214,586,90921,2174861,23.843499901330937,23.8,-0.04349990133093584
BG,higher,M,54,0.9935424004704463,90628,585,90336,2083940,22.994438804784394,23,0.005561195215605608
BG,higher,M,55,0.992434898174236,90043,681,89702,1993604,22.14057727974412,22.1,-0.040577279744120176
BG,higher,M,56,0.9912051849743476,89362,786,88969,1903902,21.305498981670063,21.3,-0.005498981670061909
BG,higher,M,57,0.9902626061971888,88576,863,88144,1814933,20.490121477601157,20.5,0.009878522398842904
BG,higher,M,58,0.9887109495680125,87713,990,87218,1726789,19.6868081128225,19.7,0.013191887177498529
BG,higher,M,59,0.9870436540412213,86723,1124,86161,1639571,18.90583812829353,18.9,-0.005838128293532918
BG,higher,M,60,0.9854499423621561,85599,1245,84976,1553410,18.147525087909905,18.1,-0.04752508790990362
BG,higher,M,61,0.983441731176101,84354,1397,83656,1468434,17.407994878725372,17.4,-0.007994878725373411
BG,higher,M,62,0.9806874943022755,82957,1602,82156,1384778,16.692720324987643,16.7,0.007279675012355824
BG,higher,M,63,0.9786655687456431,81355,1736,80487,1302622,16.011578882674698,16,-0.011578882674697866
BG,higher,M,64,0.9769000316169726,79619,1839,78700,1222135,15.34979087906153,15.3,-0.049790879061529125
BG,higher,M,65,0.9745367655076353,77780,1980,76790,1143435,14.700887117510929,14.7,-8.871175109295137e-4
BG,higher,M,66,0.9728772938944212,75800,2056,74772,1066645,14.071833773087072,14.1,0.02816622691292814
BG,higher,M,67,0.9713398416388225,73744,2114,72687,991873,13.45021967888913,13.5,0.04978032111086961
BG,higher,M,68,0.9692404098957002,71630,2203,70528,919186,12.832416585229652,12.8,-0.03241658522965096
BG,higher,M,69,0.9668690619778811,69427,2300,68277,848658,12.223745804946203,12.2,-0.02374580494620382
BG,higher,M,70,0.9646877111325107,67127,2371,65942,780381,11.625441327632696,11.6,-0.025441327632696797
BG,higher,M,71,0.962043671931734,64756,2458,63527,714439,11.032784606831799,11.1,0.06721539316820113
BG,higher,M,72,0.9579777396664579,62298,2617,60990,650912,10.44836110308517,10.4,-0.0483611030851705
BG,higher,M,73,0.9538094235909182,59681,2757,58302,589922,9.884586384276403,9.9,0.015413615723597118
BG,higher,M,74,0.9492013003859063,56924,2892,55478,531620,9.339118825100133,9.3,-0.039118825100132426
BG,higher,M,75,0.9435957436706067,54032,3047,52508,476142,8.812222386733787,8.8,-0.01222238673378584
BG,higher,M,76,0.9378551117565882,50985,3169,49400,423634,8.308992841031676,8.3,-0.008992841031675525
BG,higher,M,77,0.9310385505567499,47816,3297,46168,374234,7.826543416429647,7.8,-0.026543416429647415
BG,higher,M,78,0.9231841469354878,44519,3420,42809,328066,7.369123295671511,7.4,0.03087670432848899
BG,higher,M,79,0.915700255582268,41099,3465,39366,285257,6.940728484877978,6.9,-0.04072848487797742
BG,higher,M,80,0.9081288513964663,37634,3457,35906,245891,6.533746080671733,6.5,-0.033746080671733125
BG,higher,M,81,0.8993515184639457,34177,3440,32457,209985,6.14404424027855,6.1,-0.04404424027855036
BG,higher,M,82,0.8899671148608713,30737,3382,29046,177528,5.775710056283957,5.8,0.02428994371604265
BG,higher,M,83,0.8799251062312258,27355,3285,25712,148482,5.427965636995065,5.5,0.07203436300493493
BG,higher,M,84,0.8690535716805571,24070,3152,22494,122770,5.100540091400083,5.1,-5.400914000830426e-4
BG,higher,M,85,0,20918,20918,100276,100276,4.793766134429678,4.7,-0.09376613442967763
BG,middle,M,0,0.9986133232,100000,139,99930,7147747,71.47747,71.2,-0.2774699999999939
BG,middle,M,1,0.9988022141581617,99861,119,99802,7047817,70.57627101671324,70.8,0.22372898328676172
BG,middle,M,2,0.9990147711492493,99742,99,99692,6948015,69.65987247097512,69.8,0.14012752902488046
BG,middle,M,3,0.9992029184168542,99643,79,99604,6848323,68.72859107012033,68.8,0.07140892987966652
BG,middle,M,4,0.9993574840066397,99564,64,99532,6748719,67.78272267084489,67.8,0.017277329155106713
BG,middle,M,5,0.9996549820031222,99500,34,99483,6649187,66.826,66.8,-0.02599999999999625
BG,middle,M,6,0.9999274048434323,99466,7,99462,6549704,65.84867190798866,65.8,-0.04867190798866261
BG,middle,M,7,0.9999016102252041,99459,10,99454,6450242,64.85327622437386,64.8,-0.05327622437386026
BG,middle,M,8,0.9997568016969542,99449,24,99437,6350788,63.859747207111184,63.9,0.04025279288881478
BG,middle,M,9,0.9997669524919225,99425,24,99413,6251351,62.87504148855921,62.9,0.024958511440786424
BG,middle,M,10,0.9998766314713652,99401,12,99395,6151938,61.89010170923834,61.9,0.009898290761661599
BG,middle,M,11,0.999935884015986,99389,6,99386,6052543,60.89751380937528,60.9,0.0024861906247153343
BG,middle,M,12,0.9998691940721562,99383,13,99376,5953157,59.90116015817595,59.9,-0.0011601581759492774
BG,middle,M,13,0.9998183534335517,99370,18,99361,5853781,58.908936298681695,58.9,-0.008936298681696542
BG,middle,M,14,0.9997967750487036,99352,21,99342,5754420,57.919518479748774,57.9,-0.01951847974877552
BG,middle,M,15,0.999659054537442,99331,33,99314,5655078,56.931652756943954,56.9,-0.03165275694395575
BG,middle,M,16,0.9994447621258831,99298,56,99270,5555764,55.950411891478176,56,0.04958810852182438
BG,middle,M,17,0.9993031181307791,99242,69,99208,5456494,54.98170129582233,55,0.01829870417766699
BG,middle,M,18,0.999268732004411,99173,72,99137,5357286,54.01960210944511,54,-0.01960210944510976
BG,middle,M,19,0.9991912408755603,99101,80,99061,5258149,53.05848578722717,53,-0.058485787227169794
BG,middle,M,20,0.9991558326979237,99021,84,98979,5159088,52.1009482836974,52.1,-9.482836973973008e-4
BG,middle,M,21,0.9991659589943266,98937,82,98896,5060109,51.144758785894055,51.2,0.055241214105947734
BG,middle,M,22,0.9991185506240197,98855,88,98811,4961213,50.18676849931718,50.2,0.013231500682820752
BG,middle,M,23,0.9991699950681061,98767,82,98726,4862402,49.231038707260524,49.2,-0.031038707260520937
BG,middle,M,24,0.9993236926042824,98685,66,98652,4763676,48.27153062775498,48.3,0.028469372245019997
BG,middle,M,25,0.9994024679539361,98619,59,98590,4665024,47.30350135369452,47.3,-0.0035013536945243118
BG,middle,M,26,0.9993105305273383,98560,68,98526,4566434,46.3315137987013,46.3,-0.03151379870130455
BG,middle,M,27,0.9991907217644646,98492,80,98452,4467908,45.36315639848922,45.4,0.03684360151078181
BG,middle,M,28,0.9991392473511236,98412,85,98370,4369456,44.39962606186238,44.4,3.739381376206552e-4
BG,middle,M,29,0.9990501426522822,98327,93,98280,4271086,43.4375705553917,43.4,-0.03757055539170295
BG,middle,M,30,0.9989257035182231,98234,106,98181,4172806,42.47822546165279,42.5,0.021774538347209216
BG,middle,M,31,0.9988443115086223,98128,113,98072,4074625,41.52357125387249,41.5,-0.023571253872489706
BG,middle,M,32,0.9988159044259829,98015,116,97957,3976553,40.570861602815896,40.6,0.029138397184105713
BG,middle,M,33,0.9987385559848303,97899,123,97838,3878596,39.61834135180135,39.6,-0.01834135180134666
BG,middle,M,34,0.9985853725215162,97776,139,97706,3780758,38.66754622811324,38.7,0.03245377188676457
BG,middle,M,35,0.998429256750324,97637,153,97560,3683052,37.72188821860565,37.7,-0.02188821860564616
BG,middle,M,36,0.9982941522516037,97484,166,97401,3585492,36.78031266669402,36.8,0.019687333305974164
BG,middle,M,37,0.9981398917721944,97318,181,97228,3488091,35.842197743480135,35.8,-0.04219774348013772
BG,middle,M,38,0.9979756504577492,97137,197,97038,3390863,34.908047396975405,34.9,-0.008047396975406684
BG,middle,M,39,0.9977761411826179,96940,216,96832,3293825,33.977976067670724,34,0.022023932329275908
BG,middle,M,40,0.9976164258741679,96724,230,96609,3196993,33.052737686613455,33.1,0.04726231338654685
BG,middle,M,41,0.9973876746583297,96494,252,96368,3100384,32.1303293469024,32.1,-0.030329346902398413
BG,middle,M,42,0.9971460904677568,96242,275,96104,3004016,31.21315018391139,31.2,-0.013150183911392332
BG,middle,M,43,0.9969153455539383,95967,296,95819,2907912,30.301166025821377,30.3,-0.0011660258213765928
BG,middle,M,44,0.9964943802466573,95671,335,95504,2812093,29.393368941476517,29.4,0.00663105852348167
BG,middle,M,45,0.9961375719087078,95336,369,95152,2716589,28.494891751279685,28.5,0.005108248720315345
BG,middle,M,46,0.9957797636461972,94967,400,94767,2621437,27.603662324807566,27.6,-0.0036623248075642323
